0.5 3.5
0.6 3.26667
0.7 3.12857
0.8 3.05
0.9 3.01111
1 3
1.1 3.00909
1.2 3.03333
1.3 3.06923
1.4 3.11429
1.5 3.16667
1.6 3.225
1.7 3.28824
1.8 3.35556
1.9 3.42632
2 3.5
2.1 3.57619
2.2 3.65455
2.3 3.73478
2.4 3.81667
2.5 3.9
2.6 3.98462
2.7 4.07037
2.8 4.15714
2.9 4.24483
3 4.33333
3.1 4.42258
3.2 4.5125
3.3 4.60303
3.4 4.69412
3.5 4.78572
3.6 4.87778
3.7 4.97027
3.8 5.06316
3.9 5.15641
4 5.25
4.1 5.3439
4.2 5.4381
4.3 5.53256
4.4 5.62727
4.5 5.72222
4.6 5.81739
4.7 5.91277
4.8 6.00833
4.9 6.10408
5 6.2
5.1 6.29608
5.2 6.39231
5.3 6.48868
5.4 6.58519
5.5 6.68182
5.6 6.77857
5.7 6.87544
5.8 6.97241
5.9 7.06949
6 7.16667
